1602872965 288617 0 0 0
1602966673 288854 0 0 0
1603137283 288910 0 0 0
1603212942 288910 0 0 162699
1604263803 288910 90581 0 162699
1604265516 288910 90815 0 162699
1604265799 288910 90816 0 162699
1604304155 289400 90816 0 162699
1604305755 289400 90816 0 162699
1604305894 289420 90816 0 162699
1604353790 289559 90816 0 162699
1604358592 289559 90816 1006 162699
1604409118 289711 90816 1006 162699
1604409490 289712 90816 1006 162699
1604410266 289719 90816 1006 162699
1604410496 289719 90816 1006 162699
1604410923 289908 90816 1006 162699
1604529233 289908 91147 1006 162699
1604602320 289908 91151 1006 162699
1604748186 289908 91151 1006 162699
1604748210 289908 91151 1006 162699
1604748262 289978 91151 1006 162699
1604756119 289978 91152 1006 162699
1604770965 289978 91152 1631 162699
1604771293 290037 91152 1631 162699
1604771484 290037 91152 1631 162699
1604889690 290037 91889 1631 162699
1604889720 290037 91889 1631 162699
1604890038 290037 91891 1631 162699
1604890155 290037 91892 1631 162699
1604974975 290037 91993 1631 162699
1605045871 290037 92284 1631 162699
1605093229 290037 92285 1631 162699
1605094140 290101 92285 1631 162699
1605094416 290104 92285 1631 162699
1605095310 290144 92285 1631 162699
1605103310 290144 92285 1704 162699
1605103393 290144 92285 1724 162699
1605103464 290144 92285 2039 162699
1605202108 290276 92285 2039 162699
1605231115 290276 92569 2039 162699
1605270689 290276 92662 2039 162699
1605277672 290276 92683 2039 162699
1605379251 290328 92683 2039 162699
1605379296 290328 92683 2039 162699
1605391274 290328 92683 2111 162699
1605391339 290328 92683 2231 162699
1605531219 290372 92683 2231 162699
1605538860 290372 92683 2327 162699
1605542414 290372 92683 2515 162699
1605542507 290372 92683 2583 162699
1605542519 290372 92683 2623 162699
1605558762 290372 92683 2786 162699
1605578084 290372 92889 2786 162699
1605611046 290372 92892 2786 162699
1605611282 290372 92893 2786 162699
1605611325 290372 92893 2800 162699
1605611334 290372 92893 2800 162699
1605613636 290372 92895 2800 162699
1605613847 290372 92895 2800 162699
1605613960 290372 92898 2800 162699
1605614771 290372 92900 2800 162699
1605618799 290372 92900 2811 162699
